Name,Rating,Count,Reviews,Prep Time,Cook Time,Servings,Category
Bánh Tét,,,0,2 hrs,6 hrs 30 mins,12,Lunar New Year
Hot Honey Saltines,,,0,5 mins,30 mins,6 to 8,Party Mix Recipes
Torched Tiramisu,5.0,(1),1,20 mins,,6 to 8,Tiramisu Recipes
Bloomin Onion Chicken,,,0,15 mins,20 mins,4,Chicken
Slow Cooker Chicken and Stuffing Casserole,,,0,20 mins,4 hrs,4,Stuffing
Slow Cooker Greek Lemon Chicken and Potatoes ,,,0,15 mins,6 hrs 5 mins,6,Chicken
Curry Baked Potatoes,,,0,10 mins,40 mins,5,Potato
Savory Brown Rice,,,0,10 mins,45 mins,8,Rice Side Dish Recipes
Espresso Martini Cookies,,,0,30 mins,10 mins,30,Chocolate Cookie Recipes
20 Tasty Recipes to Break in Your New Stand Mixer,,,0,,,,Everyday Cooking
16 Make-Ahead Christmas Desserts To Sweeten Your Holidays,,,0,,,,Desserts
5 Quick and Easy Party Dips Anyone Can Make,,,0,,,,Dips and Spreads Recipes
Puff Pastry Pizza Poppers,4.0,(1),1,30 mins,50 mins,16,Pastries
Cowboy Chicken Cornbread Casserole,,,0,15 mins,30 mins,10,Black Beans
Hasselback Potato Casserole,4.0,(1),1,25 mins,1 hr 55 mins,8,Potato Casserole
Hibachi Chicken Noodles with Yum Yum Sauce ,5.0,(1),1,10 mins,30 mins,4,Chicken
One Pot Chicken and Vegetables,4.5,(2),2,15 mins,45 mins,5,Chicken
Sizzling Chicken Spaghetti,5.0,(1),1,20 mins,20 mins,4,Chicken
Baked Chicken Banana Pepper Dip,,,0,10 mins,20 mins,10,Hot Cheese Dip Recipes
Sparkling Shortbread Cookies,,,0,20 mins,15 mins,25,Shortbread Cookie Recipes
Chunky Monkey Bars ,5.0,(1),1,15 mins,20 mins,24,Bar Cookie Recipes
Greek Lemon Chicken Orzo Casserole,3.0,(3),3,15 mins,35 mins,3,Pasta
Slow Cooker Boiled Peanuts,5.0,(1),1,5 mins,12 hrs,32,Peanut Recipes
Tzatziki Chicken Bowls,,,0,25 mins,,4,Bowls
Chicken Chip Bake,5.0,(1),1,15 mins,30 mins,8,Chicken
Viral Pork Dumpling Lasagna,4.0,(3),1,5 mins,15 mins,6,Lasagna Recipes
Sally Lunn Cake,,,0,10 mins,40 mins,16,English
Block of Cream Cheese Lemon Chicken Pasta,5.0,(2),2,10 mins,50 mins,6,Chicken
Mediterranean Sheet Pan Chicken,,,0,10 mins,20 mins,4,Chicken Breast
Air Fryer Kielbasa Bites,,,0,15 mins,10 mins,4,Meat and Poultry
We Love This Weeknight Shortcut Chicken Parmesan—Ready In Less Than 30 Minutes!,4.0,(2),2,10 mins,15 mins,9,Quick and Easy Main Dishes
Marry Me Chicken Noodle Casserole,3.5,(2),2,30 mins,30 mins,8,Pasta
Slow Cooker Hoisin Chicken ,5.0,(1),1,15 mins,5 hrs 15 mins,6,Chicken
Mini Chicken Pot Pies,5.0,(1),1,25 mins,25 mins,8,Chicken Pot Pie Recipes
12 Irresistible Recipes to Make With Cheerios,,,0,,,,Cereals
Slow Cooker Thai Peanut Chicken ,,,0,15 mins,5 hrs 15 mins,6,Chicken
"Italian Sausage, Beans, and Greens",5.0,(8),8,15 mins,40 mins,8,Main Dishes
Chicken au Poivre,5.0,(7),7,10 mins,30 mins,4,Chicken
Cookie Dough Ice Cream Sandwiches,,,0,15 mins,10 mins,8,Ice Cream
Slow Cooker Mississippi Chicken Noodle Soup,5.0,(1),1,15 mins,5 hrs 30 mins,6,Chicken Noodle Soup Recipes
Banana Bread Baked Oatmeal ,5.0,(2),2,10 mins,25 mins,9,Oatmeal Recipes
Air Fryer Beef Kofta Kebabs,,,0,15 mins,10 mins,8 servings,Ground Beef Recipes
Sheet Pan Chicken Piccata and Potatoes,5.0,(2),2,15 mins,40 mins,4,Chicken Piccata Recipes
Dill Pickle Parmesan Chicken,,,0,25 mins,15 mins,4,Chicken
Easy Anytime Pizza Bites—Just 5 Ingredients! ,,,0,10 mins,10 mins,15,Pastries
Easy Peanut Butter Chicken,4.0,(2),2,15 mins,30 mins,4,Chicken
Neiman Marcus Chicken Casserole,4.4,(146),134,10 mins,40 mins,8,Chicken
"Million Dollar Soup
",4.4,(66),56,15 mins,25 mins,10,Chicken Soup Recipes
Meet Heaven on Earth Cake: The No-Bake Dessert You'll Want to Make All Summer Long,4.9,(40),30,15 mins,,8,Summer Desserts
Swamp Potatoes and Sausage,4.6,(109),99,15 mins,6 hrs,6,Potato
Cowboy Butter Spaghetti,4.6,(30),20,20 mins,20 mins,8,Spaghetti
One Pan Dumpling Dinner,4.5,(54),44,10 mins,25 mins,4,Dumpling Recipes
Stick of Butter Chicken and Rice,4.4,(77),67,5 mins,1 hr 15 mins,6,Rice
Slow Cooker Beef Enchilada Casserole,4.6,(20),15,10 mins,3 hrs 30 mins,8 to 10,Main Dishes
Easiest Sheet Pan Tacos,3.5,(60),49,10 mins,30 mins,5,Beef
Italian Wedding Pasta Bake,4.4,(13),12,15 mins,45 mins,8,Noodles
Neiman Marcus Chicken Casserole,4.4,(146),134,10 mins,40 mins,8,Chicken
"Million Dollar Soup
",4.4,(66),56,15 mins,25 mins,10,Chicken Soup Recipes
Meet Heaven on Earth Cake: The No-Bake Dessert You'll Want to Make All Summer Long,4.9,(40),30,15 mins,,8,Summer Desserts
Swamp Potatoes and Sausage,4.6,(109),99,15 mins,6 hrs,6,Potato
Cowboy Butter Spaghetti,4.6,(30),20,20 mins,20 mins,8,Spaghetti
One Pan Dumpling Dinner,4.5,(54),44,10 mins,25 mins,4,Dumpling Recipes
Stick of Butter Chicken and Rice,4.4,(77),67,5 mins,1 hr 15 mins,6,Rice
Slow Cooker Beef Enchilada Casserole,4.6,(20),15,10 mins,3 hrs 30 mins,8 to 10,Main Dishes
Easiest Sheet Pan Tacos,3.5,(60),49,10 mins,30 mins,5,Beef
Italian Wedding Pasta Bake,4.4,(13),12,15 mins,45 mins,8,Noodles
Pan Fried Brussels Sprouts,4.4,(95),74,10 mins,20 mins,4,Brussels Sprouts
I Don't Know,4.3,(68),47,20 mins,20 mins,6,Vegetable
Minestrone Casserole,4.4,(16),6,20 mins,40 mins,8,Vegetable
Instant Pot Corned Beef,4.8,(233),187,5 mins,1 hr 30 mins,4,Corned Beef Recipes
Easy White Chicken Chili,4.7,(278),226,10 mins,40 mins,4,White Chili Recipes
Avocado Breakfast Bowl,4.6,(121),86,5 mins,20 mins,2,Eggs
Cast Iron Cornbread,4.6,(60),42,10 mins,25 mins,8,Cornbread Recipes
Chicken Taco Dump Dinner,4.9,(19),8,15 mins,45 mins,12,Chicken
Easy Hoppin' John,4.5,(41),26,15 mins,30 mins,8,New Year
Air Fryer Breakfast Frittata,4.6,(74),54,15 mins,20 mins,2,Frittata Recipes
Six Can Chicken Tortilla Soup,4.5,"(2,285)",0,5 mins,15 mins,6,Tortilla Soup Recipes
Big Ray's Mexican Monkey Bread,4.7,(68),45,10 mins,40 mins,12,Monkey Bread Recipes
Suzy's Mashed Red Potatoes,4.7,(906),646,10 mins,20 mins,8,Mashed Potato Recipes
Porridge,4.4,(25),13,5 mins,10 mins,4,Oatmeal Recipes
Quick Chili,4.7,(575),454,10 mins,40 mins,8,Beef Chili Recipes
Favorite Garlic Noodles,4.5,(77),51,5 mins,20 mins,4,Egg Noodle Recipes
Mushroom Bok Choy Soup,4.8,(59),40,20 mins,15 mins,6,Mushroom
Roasted Cabbage,4.7,(306),235,10 mins,30 mins,4,Cabbage
Reuben Casserole,4.6,(425),335,15 mins,30 mins,6,Beef
Slow Cooker Pork and Sauerkraut,4.6,(142),110,10 mins,8 hrs,4,Pork Tenderloin Recipes
Easy Pizza Sauce,4.5,"(1,110)",822,5 mins,,24,Pizza Sauce Recipes
Irish Champ,4.7,(177),120,10 mins,25 mins,4,Potato
Tuscan Chicken Simmer,4.4,(18),10,5 mins,,4,Dinner
Fabulous Fried Cabbage,4.6,(380),281,5 mins,45 mins,6,Vegetables
Instant Pot Collard Greens,4.7,(10),7,10 mins,20 mins,6,Greens
Brennan's Irish Soda Bread,4.8,(340),274,10 mins,45 mins,8,Irish Soda Bread Recipes
Corned Beef Special Sandwiches,4.8,(12),7,5 mins,,4,Beef
Broccoli Cheese Soup,4.6,"(3,179)",0,10 mins,25 mins,12,Broccoli Soup Recipes
Mom's Simple Dumplings,4.7,(183),153,10 mins,20 mins,6,Chicken and Dumpling Recipes
Sautéed Asparagus and Mushrooms,4.8,(14),8,5 mins,15 mins,4,Asparagus
Easy Mushroom-Miso Pasta,5.0,(3),3,5 mins,15 mins,2,Pasta
3-Ingredient Baked Pork Chops,4.6,(9),6,10 mins,20 mins,4,Baked
Corned Beef and Cabbage,4.7,"(1,432)",0,,2 hrs 30 mins,6,Corned Beef and Cabbage Recipes
Snow Ice Cream,4.7,(258),219,20 mins,,8,Ice Cream
Cheesecake-Stuffed Strawberries,4.9,(135),97,20 mins,,20,Strawberry Dessert Recipes
Meatball Sub Casserole,4.3,(228),165,10 mins,50 mins,8,Beef
Lemon Chicken And Rice Casserole,4.7,(27),14,10 mins,50 mins,4,Rice
Nicole's French Onion Mac and Cheese,4.7,(7),4,15 mins,1 hr 35 mins,8,Baked Macaroni and Cheese Recipes
Japanese Curry Chicken Pot Pie Casserole,5.0,(5),5,10 mins,55 mins,8,Chicken
Best Taco Casserole,4.5,"(2,817)",0,15 mins,1 hr,6,Ground Beef
Chef John's Perfect Mashed Potatoes,4.9,"(1,087)",739,20 mins,25 mins,4,Mashed Potato Recipes
"I'm Skipping This Annoying Step for My Mashed Potatoes This Year, and You Should Too",,,0,,,,How To
Dill Chicken Salad,4.7,(19),9,10 mins,10 mins,8 servings,Chicken Salad Recipes
How to Shred Chicken 4 Easy Ways,,,0,,,,How To
Easy Homemade Pasta,4.9,(143),104,20 mins,,4,Homemade Pasta Recipes
Cranberry Orange Cookies,4.8,"(1,347)",0,20 mins,15 mins,48,Cranberry
Honey-Lime Vinaigrette,4.9,(96),72,5 mins,,8,Vinaigrette Dressing Recipes
Grandma's Lemon Meringue Pie,4.8,"(3,259)",0,30 mins,10 mins,8,Lemon Meringue Pie Recipes
Magical Egg Salad,4.3,(212),166,15 mins,15 mins,2,Salad
Easy Homemade Pizza Dough,4.7,"(4,138)",0,10 mins,15 mins,8,Pizza Dough and Crust Recipes
Best Cheese Ball,4.6,(235),177,15 mins,,12,Cheese Ball Recipes
Ham Salad,4.7,(245),186,15 mins,,12,Salad
The Vintage Funeral Luncheon Recipe We Think Deserves a Comeback,,,0,,,,In the Kitchen
Fresh Butter,5.0,(8),8,45 mins,,16,Everyday Cooking
"The 2-ingredient Recipe I Use to Upgrade My Breakfast, Lunch, and Dinner
",,,0,,,,How To
Slow Cooker Texas Pulled Pork,4.6,"(3,268)",0,15 mins,5 hrs,8,Pulled Pork
Burger or Hot Dog Buns,4.5,"(1,086)",874,20 mins,15 mins,12,Rolls and Buns
Homemade Whipped Cream,4.7,"(1,255)",943,5 mins,,16,Cream Fillings
Potato Latkes,4.7,(618),476,15 mins,20 mins,6,Pancakes
Real Homemade Bagels,4.4,(359),309,30 mins,20 mins,6,Bagel Recipes
Lemon Cream Cheese Frosting,4.7,(345),282,15 mins,,15,Lemon
Potato Rolls,4.9,(113),86,30 mins,10 mins,24,Rolls and Buns
Best Scrambled Eggs,4.7,(77),55,5 mins,5 mins,1,Scrambled
10 Unexpected Ways to Use Your Stand Mixer,,,0,,,,Kitchen Tools and Techniques
Southern Pimento Cheese,4.8,"(1,143)",926,15 mins,,12,Cold Cheese Dip Recipes
Aunt Teen's Creamy Chocolate Fudge,4.7,"(2,464)",0,10 mins,20 mins,48,Chocolate
Sweet Potato Pie,4.8,"(3,580)",0,15 mins,1 hr 40 mins,8,Sweet Potato Pie Recipes
Best Soft Christmas Cookies,4.6,"(1,594)",0,20 mins,15 mins,48,Christmas Cookie Recipes
Best Toffee Ever - Super Easy,4.7,"(1,443)",0,10 mins,30 mins,32,Toffee Recipes
Milk Chocolate Peppermint Bark,4.4,(86),59,30 mins,,50,White Chocolate
Favorite Old-Fashioned Gingerbread,4.6,"(1,368)",0,10 mins,30 mins,9,Gingerbread
White Fruitcake,4.8,(120),97,35 mins,2 hrs,36,Fruitcake Recipes
Mom's Best Peanut Brittle,4.8,"(1,357)",0,10 mins,15 mins,16,Brittle
Eggnog Creme Brulee,4.7,(22),10,20 mins,40 mins,4,Creme Brulee Recipes
White Chocolate Raspberry Cheesecake,4.8,"(3,453)",0,25 mins,1 hr 10 mins,16,Chocolate Cheesecake Recipes
Cranberry Bars,4.6,(401),317,15 mins,50 mins,24,Cranberry Dessert Recipes
Eggnog Cheesecake,4.7,(549),426,20 mins,1 hr 5 mins,12,Cheesecake Recipes
Cake Balls,4.3,"(2,260)",0,30 mins,30 mins,36,Cake Pops
Russian Tea Cakes,4.7,"(1,612)",0,20 mins,15 mins,36,Russian
Gingerbread Cheesecake,4.7,(6),5,30 mins,1 hr,16,Cheesecake Recipes
Easy No-Bake Chocolate Oatmeal Cookies,4.9,(20),13,5 mins,5 mins,20,No-Bake Cookie Recipes
Restaurant-Style White Queso Dip,4.9,(10),6,5 mins,10 mins,12,Cheese Dips and Spreads Recipes
The Best Buffalo Chicken Dip,4.8,(10),6,20 mins,1 hr 30 mins,24,Buffalo Chicken Dip Recipes
Hot Spinach Artichoke Dip,4.7,"(3,231)",0,15 mins,25 mins,12,Spinach and Artichoke
Creamy Onion Dip,3.7,(3),3,5 mins,,12,Dips and Spreads Recipes
Fresh Restaurant-Style Salsa,4.8,(9),9,10 mins,,24,Tomato Salsa Recipes
Reindeer Food,4.8,(43),27,15 mins,5 mins,24,Party Mix Recipes
Jumbo Breakfast Cookies,4.7,(215),188,15 mins,10 mins,24,Breakfast Cookie Recipes
Smoky and Spicy Party Mix,4.7,(19),13,30 mins,2 hrs,48,Party Mix Recipes
Cereal Squares,4.8,(20),9,15 mins,10 mins,20,Bar Cookie Recipes
Chicken Schnitzel,4.5,(2),1,15 mins,6 mins,4,Fried Chicken Recipes
Homemade Chex Party Mix,4.4,(16),11,15 mins,2 hrs,88,Party Mix Recipes
Cereal Treats I,4.7,(24),14,,,12,Bar Cookie Recipes
Oaty Cereal Bars,4.5,(237),194,10 mins,5 mins,16,No-Bake Cookie Recipes
White Chocolate Snack Mix,4.8,(219),162,,,40,Party Mix Recipes
Grandma Jensen's Nuts and Bolts,4.5,(67),40,10 mins,1 hr 5 mins,24,Party Mix Recipes
No Bake Cereal Bars,4.3,(19),10,15 mins,,24,No-Bake Cookie Recipes
Crunchy Chocolate Bars,4.0,(10),8,,,24,Recipes
